identificador da entrevista,região onde foi realizada a entrevista,idade: qual a sua idade (em anos completos)?,área,sexo,cor ou raça,última série escolar que concluiu com aprovação,até que série o seu pai estudou,até que série a sua mãe estudou,renda total do chefe da família no último mês,renda total de todos os moradores (parentes e agregados) no último mês,número de moradores no domicílio (parentes e agregados),"no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli",my world - acesso a alimentos de qualidade,my world - governo honesto e atuante,my world - apoio às pessoas que não podem trabalhar,my world - educação de qualidade,my world - melhoria nos transportes e estradas,"my world - proteção a florestas, rios e oceanos",my world - liberdades políticas,my world - combater as mudanças climáticas,my world - melhoria dos serviços de saúde,my world - acesso ao telefone e à internet,my world - eliminação do preconceito e da discriminação,my world - acesso à água potável e ao saneamento,my world - igualdade entre homens e mulheres,my world - acesso à energia em sua casa,my world - proteção contra o crime e a violência,my world - melhores oportunidades de trabalho,religião,mulheres que usam roupas que mostram o corpo merecem ser atacadas,as mulatas são mais fogosas do que as mulheres brancas,dá para entender que um homem que cresceu em uma família violenta agrida sua mul,os homens devem ser a cabeça do lar,casos de violência dentro de casa devem ser discutidos somente entre os membros ,"incomoda ver dois homens, ou duas mulheres, se beijando na boca em público","se as mulheres soubessem como se comportar, haveria menos estupros",homem que bate na esposa tem que ir para a cadeia,é violência falar mentiras sobre uma mulher para os outros,toda mulher sonha em se casar,o que acontece com o casal em casa não interessa aos outros,"quando há violência, os casais devem se separar",casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais,dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo,um homem pode xingar e gritar com sua própria mulher,é da natureza do homem ser violento,"em briga de marido e mulher, não se mete a colher",a roupa suja deve ser lavada em casa,uma mulher só se sente realizada quando tem filhos/as,"a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade","piada de preto é só brincadeira, não é racismo",um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh,mulher que é agredida e continua com o parceiro gosta de apanhar,casamento de homem com homem ou de mulher com mulher deve ser proibido,a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos,a questão da violência contra as mulheres recebe mais importância do que merece,"tem mulher que é pra casar, tem mulher que é pra cama"
4128,NORTE,34,urbano,feminino,parda,quinta série fundamental,analfabeto ou sem instrução,quarta série fundamental completa,1000,1490,9,1,prioritário,prioritário,secundário,prioritário,prioritário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,concorda total,discorda total,discorda total,concorda parcial,discorda total,discorda parcial,discorda total,concorda total,discorda total,concorda parcial,discorda total,concorda total,discorda total,discorda total,concorda parcial,concorda total,concorda total,concorda parcial,discorda total,concorda total,concorda total
4130,NORTE,53,urbano,masculino,branca,médio completo,oitava série fundamental incompleta,oitava série fundamental incompleta,4800,4900,3,1,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,católica,concorda parcial,concorda total,discorda total,concorda total,concorda total,discorda total,concorda total,concorda parcial,concorda parcial,concorda parcial,concorda total,discorda total,concorda parcial,concorda parcial,discorda parcial,concorda parcial,concorda total,concorda total,discorda total,discorda total,concorda parcial,concorda parcial,concorda total,concorda total,concorda parcial,concorda parcial,concorda total
4134,NORTE,31,urbano,masculino,preta,analfabeto ou sem instrução,analfabeto ou sem instrução,analfabeto ou sem instrução,678,678,5,1,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,evangélica,concorda parcial,neutro,discorda total,concorda total,discorda total,discorda total,concorda total,concorda total,concorda parcial,concorda total,discorda parcial,concorda total,discorda total,discorda total,discorda total,discorda total,ns,discorda total,ns,discorda total,concorda parcial,discorda total,concorda total,discorda total,discorda total,discorda total,discorda total
4135,NORDESTE,38,urbano,feminino,parda,sétima série fundamental,cursou superior sem concluir,segunda série médio,1000,1000,4,2,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,concorda parcial,discorda parcial,discorda parcial,concorda total,concorda total,discorda parcial,concorda parcial,concorda parcial,discorda parcial,concorda total,concorda total,concorda total,discorda parcial,concorda total,concorda total,discorda parcial,concorda total,concorda total,concorda total,discorda parcial,discorda parcial,concorda total,discorda parcial,discorda parcial,concorda total,neutro,concorda parcial
4138,NORDESTE,21,urbano,feminino,parda,primeira série médio,analfabeto ou sem instrução,analfabeto ou sem instrução,678,678,2,2,secundário,prioritário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,evangélica,concorda parcial,discorda parcial,concorda total,discorda parcial,concorda total,concorda parcial,concorda total,concorda parcial,discorda parcial,discorda parcial,discorda parcial,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda parcial,concorda parcial,discorda parcial,discorda parcial,concorda total,concorda parcial,concorda parcial,discorda parcial,concorda total,discorda total,discorda parcial
4139,NORTE,24,urbano,feminino,parda,primeira série médio,não conheceu,quinta série fundamental,678,,5,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,prioritário,prioritário,secundário,evangélica,concorda parcial,neutro,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,concorda parcial,concorda parcial,discorda parcial,discorda total,discorda total,discorda total,discorda total,concorda total,concorda parcial,discorda total,discorda total,discorda total,discorda total,discorda total,concorda total,discorda total,discorda total,concorda total
4140,NORDESTE,65,urbano,feminino,parda,superior completo,analfabeto ou sem instrução,analfabeto ou sem instrução,678,1200,7,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda parcial,discorda parcial,concorda parcial,concorda parcial,discorda total,concorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda parcial,discorda parcial,discorda parcial,discorda parcial,concorda parcial,concorda total,concorda total,discorda parcial,discorda parcial,concorda total,concorda total,discorda parcial,discorda parcial,discorda parcial,concorda parcial
4142,NORTE,47,urbano,feminino,parda,médio completo,quarta série fundamental completa,analfabeto ou sem instrução,700,700,4,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,prioritário,católica,discorda total,discorda parcial,discorda total,concorda total,concorda parcial,discorda parcial,concorda total,concorda parcial,concorda total,concorda parcial,concorda parcial,concorda parcial,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda parcial,concorda parcial,concorda parcial,discorda total,ns,concorda total,discorda parcial,concorda parcial,concorda parcial
4147,NORDESTE,40,urbano,masculino,parda,fundamental completa,segunda série fundamental,sétima série fundamental,678,3000,6,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,católica,concorda parcial,discorda parcial,concorda parcial,concorda parcial,discorda total,concorda parcial,concorda total,concorda parcial,discorda parcial,concorda total,concorda parcial,concorda parcial,concorda parcial,concorda parcial,concorda parcial,discorda parcial,concorda parcial,concorda parcial,concorda total,concorda total,concorda parcial,discorda total,concorda parcial,discorda parcial,discorda parcial,concorda total,concorda parcial
4148,NORTE,29,urbano,masculino,parda,médio completo,quinta série fundamental,médio completo,678,800,3,1,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,católica,discorda total,neutro,concorda parcial,concorda total,concorda total,discorda total,concorda parcial,discorda parcial,discorda parcial,concorda total,concorda total,concorda parcial,discorda total,concorda parcial,concorda parcial,discorda parcial,concorda total,concorda total,discorda total,concorda parcial,discorda total,discorda total,discorda total,concorda total,discorda total,concorda parcial,discorda parcial
